,simbolo,tipo,sub_tipo,descricao,dividend_yield,patrimonio_liquido,liquidez_diaria_media,ultimo_rendimento,valor_patrimonial,rentabilidade_mes,p_vp,cotas_emitidas,numero_cotistas,min_semanas,max_semanas,valorizacao
0,AAZQ11,Fiagro,Indefinido,,16.87,232000000.0,"1,1M",0.93,9.65,2.14,,24037284,21961,8.49,9.9,5.72
1,ABCP11,Tijolo,Shoppings,,8.69,432700000.0,"75,7K",0.81,91.88,4.1,,4709082,17274,63.99,74.2,5.66
2,AFHI11,Papel,Papéis,,12.6,322400000.0,"866,3K",1.04,96.43,-0.6,,3343095,26665,92.17,100.98,3.67
3,AIEC11,Tijolo,Lajes Corporativas,,16.47,459200000.0,"868,7K",0.59,95.16,-3.01,,4824987,16416,53.0,72.86,16.82
4,ALZM11,Fundo de Fundos,Fundo de Fundos,,117.61,132699999.99999999,"235,4K",0.1,87.42,-0.45,,1518054,5416,7.94,9.57,0.34
5,ALZR11,Fundo Misto,Misto,,8.2,1100000000.0,"1,6M",1.12,106.95,1.22,,9860406,148351,109.0,119.68,4.76
6,ANCR11B,Tijolo,Shoppings,,1.96,1900000000.0,"5,1K",0.82,3941.72,-2.39,,475316,62,2685.59,3500.0,6.99
7,APTO11,Tijolo,Imóveis Residenciais,,12.16,41400000.0,"36,0K",0.96,10.32,-0.41,,4012857,9874,8.1,10.0,11.14
8,APXM11,Sem categoria,Shoppings,,1.99,168900000.0,"1,0M",1.03,95.98,-3.87,,1760000,321,94.76,118.75,13.91
9,ARCT11,Tijolo,Imóveis Industriais e Logísticos,,16.59,371500000.0,"1,1M",0.87,100.19,-5.51,,3708168,43228,85.99,111.9,19.32
10,AROA11,Sem categoria,Imóveis Industriais e Logísticos,,2.77,178600000.0,"84,1K",1.5,1.06,-46.95,,167926831,52,1.07,3.58,38.32
11,ARRI11,Papel,Papéis,,13.67,117100000.0,"233,1K",1.0,8.97,-0.33,,13056237,27852,8.06,9.43,3.44
12,ARXD11,Sem categoria,Papéis,,10.36,64700000.0,"29,4K",0.99,98.84,2.18,,654895,557,92.27,102.51,0.89
13,ASMT11,Tijolo,Lajes Corporativas,,2.8,86400000.0,"13,0K",0.65,84.91,-2.63,,1017316,509,44.7,77.3,24.35
14,ASRF11,Sem categoria,Indefinido,,2.54,24300000.0,"30,3K",1.0,10135.55,,,2400,56,10092.0,10092.0,0.0
15,ATSA11,Tijolo,Shoppings,,0.18,143200000.0,"1,3K",0.67,81.79,-3.58,,1751141,283,53.03,79.85,33.59
16,AURB11,Tijolo,Imóveis Comerciais - Outros,,6.24,73000000.0,"4,2M",1.03,82.9,-10.34,,880560,5,85.0,95.0,10.34
